,ID,eventSec,matchPeriod,subEventName,startingX,startingY,finishingX,finishingY,playerFirstName,role_x,playerName,recipientFirstName,role_y,recipientName,clubName,countryName,dateutc,groupName,label,Tag_1_Description,Tag_2_Description,Tag_3_Description,Tag_4_Description,Tag_5_Description,Tag_6_Description
56604,123.0,336.529855,1H,Smart pass,82.0,14.0,86.0,8.0,Salem Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salem Al Dawsari,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Not accurate,,,,,
603,152.0,404.018669,1H,Smart pass,80.0,76.0,95.0,79.0,Fyodor,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",F. Smolov,M\u00e1rio Figueira,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M\u00e1rio Fernandes,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Accurate,,,,,
89452,224.0,648.858409,1H,Simple pass,70.0,75.0,87.0,53.0,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,Accurate,,,,
101683,231.0,690.869877,1H,Cross,77.0,23.0,93.0,60.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,Yury,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Y. Gazinskiy,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Assist,Right foot,High,Accurate,,
95054,487.0,1817.834741,1H,Free kick cross,82.0,86.0,89.0,56.0,Salman Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salman Al Faraj,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,High,Accurate,,,
73788,564.0,2055.36221,1H,Smart pass,64.0,35.0,85.0,40.0,Yasir Gharsan,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Yasir Al Shahrani,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73790,574.0,2079.293175,1H,Smart pass,74.0,29.0,79.0,24.0,Salem Mohammed,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Salem Al Dawsari,,,,,Saudi Arabia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73791,915.0,360.21713,2H,Smart pass,57.0,62.0,80.0,68.0,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
73793,1041.0,839.250434,2H,Smart pass,73.0,20.0,77.0,30.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,,,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Through,Not accurate,,,,
101620,1143.0,1156.676578,2H,Cross,86.0,22.0,86.0,48.0,Fyodor,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",F. Smolov,,,,,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,Right foot,High,Accurate,,
101682,1262.0,1551.628619,2H,Cross,86.0,77.0,93.0,47.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,,,,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Assist,Right foot,High,Accurate,,
95055,1321.0,1886.4856179999997,2H,Free kick cross,78.0,86.0,88.0,56.0,Aleksandr,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Golovin,Roman,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",R. Zobnin,AS Monaco FC,Russia,2018-06-14 15:00:00,Group A,"Russia - Saudi Arabia, 5 - 0",Key pass,High,Accurate,,,
