,value,playerName,birthDate,firstName,shortName,country,club,clubOfficial,fieldPosition
0,33,Neymar,1992-02-05,Neymar,Neymar,Brazil,PSG,Paris Saint-Germain FC,FWD
1,32,K. De Bruyne,1991-06-28,Kevin,K. De Bruyne,Belgium,Manchester City,Manchester City FC,MID
2,22,Isco,1992-04-21,Francisco Rom\u00e1n,Isco,Spain,Real Madrid,Real Madrid Club de F\u00fatbol,MID
3,21,J. Quintero,1993-01-18,Juan Fernando,J. Quintero,Colombia,,,MID
4,20,K. Trippier,1990-09-19,Kieran,K. Trippier,England,Tottenham Hotspur,Tottenham Hotspur FC,DEF
5,17,Philippe Coutinho,1992-06-12,Philippe,Philippe Coutinho,Brazil,Barcelona,FC Barcelona,FWD
6,16,D. Mertens,1987-05-06,Dries,D. Mertens,Belgium,Napoli,SSC Napoli,FWD
7,15,P. Pogba,1993-03-15,Paul,P. Pogba,France,Manchester United,Manchester United FC,MID
8,15,L. Su\u00e1rez,1987-01-24,Luis Alberto,L. Su\u00e1rez,Uruguay,Barcelona,FC Barcelona,FWD
9,15,L. Su\u00e1rez,1996-03-03,Leonardo Gabriel,L. Su\u00e1rez,,,,MID
10,15,X. Shaqiri,1991-10-10,Xherdan,X. Shaqiri,Switzerland,Liverpool,Liverpool FC,MID
11,15,A. Rebi\u0107,1993-09-21,Ante,A. Rebi\u0107,Croatia,Eintracht Frankfurt,Eintracht Frankfurt,FWD
12,14,L. Messi,1987-06-24,Lionel Andr\u00e9s,L. Messi,Argentina,Barcelona,FC Barcelona,FWD
13,14,G. Sigur\u00f0sson,1989-09-08,Gylfi \u00de\u00f3r,G. Sigur\u00f0sson,Iceland,Everton,Everton FC,MID
14,14,A. Griezmann,1991-03-21,Antoine,A. Griezmann,France,Atl\u00e9tico Madrid,Club Atl\u00e9tico de Madrid,FWD
15,14,L. Modri\u0107,1985-09-09,Luka,L. Modri\u0107,Croatia,Real Madrid,Real Madrid Club de F\u00fatbol,MID
16,13,I. Rakiti\u0107,1988-03-10,Ivan,I. Rakiti\u0107,Croatia,Barcelona,FC Barcelona,MID
17,13,C. Cueva,1991-11-23,Christian Alberto,C. Cueva,Peru,,,MID
18,12,K. Mbapp\u00e9,1998-12-20,Kylian,K. Mbapp\u00e9,France,PSG,Paris Saint-Germain FC,FWD
19,12,S. Man\u00e9,1992-04-10,Sadio,S. Man\u00e9,Senegal,Liverpool,Liverpool FC,FWD
20,12,M. \u00d6zil,1988-10-15,Mesut,M. \u00d6zil,Germany,Arsenal,Arsenal FC,MID
21,12,Salman Al Faraj,1989-08-01,Salman Mohammed,Salman Al Faraj,Saudi Arabia,,,MID
22,12,H. Kane,1993-07-28,Harry,H. Kane,England,Tottenham Hotspur,Tottenham Hotspur FC,FWD
23,11,T. Meunier,1991-09-12,Thomas,T. Meunier,Belgium,PSG,Paris Saint-Germain FC,DEF
24,11,M. Lay\u00fan,1988-06-25,Miguel Arturo,M. Lay\u00fan,Mexico,Villarreal,Villarreal Club de F\u00fatbol,DEF
25,11,C. Vela,1989-03-01,Carlos Alberto,C. Vela,Mexico,,,FWD
26,11,G. Shibasaki,1992-05-25,Gaku,G. Shibasaki,Japan,Getafe,Getafe Club de F\u00fatbol,MID
27,10,M. Niang,1994-12-19,M'Baye Babacar,M. Niang,Senegal,Torino,Torino FC,FWD
28,9,J. Kimmich,1995-02-08,Joshua,J. Kimmich,Germany,Bayern M\u00fcnchen,FC Bayern M\u00fcnchen,DEF
29,9,T. M\u00fcller,1989-09-13,Thomas,T. M\u00fcller,Germany,Bayern M\u00fcnchen,FC Bayern M\u00fcnchen,FWD
30,9,N. Chadli,1989-08-02,Nacer,N. Chadli,Belgium,West Bromwich Albion,West Bromwich Albion FC,MID
31,9,\u0160. Vrsaljko,1992-01-10,\u0160ime,\u0160. Vrsaljko,Croatia,Internazionale,FC Internazionale Milano,DEF
32,9,\u00c9. Banega,1988-06-29,\u00c9ver Maximiliano David,\u00c9. Banega,Argentina,Sevilla,Sevilla FC,MID
33,9,David Silva,1986-01-08,David Josu\u00e9,David Silva,Spain,Manchester City,Manchester City FC,MID
34,9,D. Alli,1996-04-11,Bamidele,D. Alli,England,Tottenham Hotspur,Tottenham Hotspur FC,MID
35,9,M. Mand\u017euki\u0107,1986-01-14,Mario,M. Mand\u017euki\u0107,Croatia,Juventus,Juventus FC,FWD
36,9,D. Tadi\u0107,1988-11-20,Du\u0161an,D. Tadi\u0107,Serbia,,,MID
37,9,E. Hazard,1991-01-07,Eden,E. Hazard,Belgium,Chelsea,Chelsea FC,FWD
38,8,Willian,1988-08-09,Willian,Willian,Brazil,Chelsea,Chelsea FC,MID
39,8,C. Eriksen,1992-02-14,Christian ,C. Eriksen,Denmark,Tottenham Hotspur,Tottenham Hotspur FC,MID
40,8,Jordi Alba,1989-03-21,Jordi,Jordi Alba,Spain,Barcelona,FC Barcelona,DEF
41,8,Gabriel Jesus,1997-04-03,Gabriel Fernando,Gabriel Jesus,Brazil,Manchester City,Manchester City FC,FWD
42,8,J. Boateng,1988-09-03,J\u00e9r\u00f4me,J. Boateng,Germany,Bayern M\u00fcnchen,FC Bayern M\u00fcnchen,DEF
43,8,Marcelo,1987-05-20,Marcelo Ant\u00f4nio,Marcelo,,Olympique Lyonnais,Olympique Lyonnais,DEF
44,8,Marcelo,1988-05-12,Marcelo,Marcelo,Brazil,Real Madrid,Real Madrid Club de F\u00fatbol,DEF
45,8,J. Lingard,1992-12-15,Jesse,J. Lingard,England,Manchester United,Manchester United FC,MID
46,8,O. Giroud,1986-09-30,Olivier,O. Giroud,France,Chelsea,Chelsea FC,FWD
47,8,A. Mooy,1990-09-15,Aaron,A. Mooy,Australia,Huddersfield Town,Huddersfield Town FC,MID
48,8,Iniesta,1984-05-11,Andr\u00e9s,Iniesta,Spain,,,MID
49,7,A. Golovin,1996-05-30,Aleksandr,A. Golovin,Russia,Monaco,AS Monaco FC,MID
50,7,S. Azmoun,1995-01-01,Sardar,S. Azmoun,Iran,,,FWD
51,7,H. Herrera,1990-04-19,H\u00e9ctor Miguel,H. Herrera,Mexico,,,MID
52,7,Cristiano Ronaldo,1985-02-05,Cristiano Ronaldo,Cristiano Ronaldo,Portugal,Juventus,Juventus FC,FWD
53,7,A. Carrillo,1991-06-14,Andr\u00e9 Mart\u00edn,A. Carrillo,Peru,,,MID
54,7,S. Milinkovi\u0107-Savi\u0107,1995-02-27,Sergej,S. Milinkovi\u0107-Savi\u0107,Serbia,Lazio,SS Lazio,MID
